controller,scenario_name,interactive_week,cumulative_profit_mean,cumulative_profit_ci_lower,cumulative_profit_ci_upper
constraint_aware_weekly,base_market,3,0.0,0.0,0.0
constraint_aware_weekly,base_market,4,837.484663798249,248.75843593171118,1304.3460897129157
constraint_aware_weekly,base_market,5,4092.25581561348,3123.882797336116,4866.630186099384
constraint_aware_weekly,base_market,6,8017.054901078737,5481.856115728478,11216.206322730426
constraint_aware_weekly,base_market,7,13319.870990864985,10167.121736064846,16584.01546820788
constraint_aware_weekly,base_market,8,21084.93601534543,18284.694357466575,23732.432437040745
constraint_aware_weekly,base_market,9,32074.044560715363,28333.813441927578,35813.347654419216
constraint_aware_weekly,base_market,10,47252.833709274804,42855.810894611874,50671.584518531694
constraint_aware_weekly,base_market,11,65712.38758568488,61238.38910471525,70659.92369082905
constraint_aware_weekly,base_market,12,86993.80106553635,78314.14202780549,94009.82689863148
constraint_aware_weekly,base_market,13,108427.79687249144,98097.2414454112,117810.54203572196
constraint_aware_weekly,base_market,14,135573.18638675727,127443.92494598743,145611.7868618447
constraint_aware_weekly,base_market,15,158573.67355449966,151659.79973531226,168037.24837513457
constraint_aware_weekly,base_market,16,182350.79467073255,173905.26840923267,192613.97426106455
constraint_aware_weekly,base_market,17,202344.1905720601,192214.93895531632,213252.22972205136
constraint_aware_weekly,base_market,18,222579.73116284268,213077.59511862672,230034.39849418457
constraint_aware_weekly,base_market,19,245867.85077840718,233775.84986015264,256231.57388921131
constraint_aware_weekly,base_market,20,262672.0249263878,249593.73174123061,275477.76624436467
constraint_aware_weekly,base_market,21,285447.24782483093,272562.0822326512,297676.12232257717
constraint_aware_weekly,base_market,22,304263.04478504823,293716.1780091488,317144.8428807562
constraint_aware_weekly,base_market,23,327032.40796333115,316805.5403074436,338592.6226517707
constraint_aware_weekly,base_market,24,354549.2722016012,342925.2942424299,367699.0575342238
constraint_aware_weekly,base_market,25,585825.406997713,571043.6571065739,600116.4434264166
constraint_aware_weekly,class_imbalance_shift,0,0.0,0.0,0.0
constraint_aware_weekly,class_imbalance_shift,1,0.0,0.0,0.0
constraint_aware_weekly,class_imbalance_shift,2,0.0,0.0,0.0
constraint_aware_weekly,class_imbalance_shift,3,0.0,0.0,0.0
constraint_aware_weekly,class_imbalance_shift,4,527.966987848038,4.412047545566401,1070.757790857376
constraint_aware_weekly,class_imbalance_shift,5,1602.5016676706366,367.69728556423786,2478.8616237727256
constraint_aware_weekly,class_imbalance_shift,6,1994.101001008605,-322.0702070227855,4278.378437469269
constraint_aware_weekly,class_imbalance_shift,7,4910.441246075863,1288.1696704491026,8813.389875753026
constraint_aware_weekly,class_imbalance_shift,8,11237.518970869007,6157.086488623719,15080.77635532168
constraint_aware_weekly,class_imbalance_shift,9,24196.560521355903,20295.115334679238,27554.259089813684
constraint_aware_weekly,class_imbalance_shift,10,43422.151156882785,39604.77011393005,46806.17443921202
constraint_aware_weekly,class_imbalance_shift,11,59422.82501058661,54339.47762525479,63684.32980671118
